metric,exact,decimal,classification
exact_residual_norm,7335751116718629809513486419527135342447257566936208220897384743143345660930940254696665245265827006266379675945592382457366727158948968300925492142189913755530768332229379650972534830117463235789266025961286685446585800036748275489567124925719136774418316324310728899751923253352701458876743984612973353194261256227706887675373228919036271492508184727257088/24460256091149764551213337665534646117165670139248212640164598492198775232471234836125533942681831377817151575574186340997762827840502167136704752894156925311934810783768112644978836144359676445354871064214698642292070008769299214821438700360327329004632529647253915483554231138879889399879818556893652825487700927331658141089435114991174756579861249894027543383328970988957262607897381484508514404296875,2.999049187948959763e-46,"finite polynomial, complete residual"
residual_allowance,5962013797130088832511648320988374088339725014112348084966114506015489763453910440085575508008457656085592112725504619331220050092359690623722922276964650448769534604428402193171625435670432111892681872262874901502948833805206353481258844894818449408294002736132034557260339358042214271887992674468936061432946729025851578760346040560929/41302474527590024782406943029801022077387234471802971868021661969973536667192632585015113392001863790803758742659384296308951015704556903986189491837398144109497256505237290639025159021291687395897674648366520735358197982874313478930516207404679612924629161570187706547123783238455826759079558621734694455024618965927038438453674316406250000,0.00014435003871614199985,all-order contraction allowance
