name,exact_or_text
boundary_infinite_inverse_norm_bound,12474784410238861321817988810206311928602372356760958897643228719684506793886182146166726602359293806724593982795969039969961059543602254118037109375/3772960463270197059220237820876248802780909411657005517603563161260043006202482109876314961074215599215275234774007753152478170063705249239499881693
finite_jacobian_dimension,62
finite_restart_derivative_norm,85080219649261826461274291/451804683497655970218862125
finite_restart_inverse_norm,68274270491352704964394867124301546689/57002728825019719896692484991755335625
jacobian_sha256,73f6f1fee1e6f04096f9dc30b25cb9c7028986b5a3f09218b12a1635ab92dbd6
inverse_sha256,72eb0205b268b357b475ea918cb7757e8caa1b93311a4eaca7e77513727756d7
