panel,series,x,y,xUnit,yUnit,evidence,formula,source,note
A,Rudin-Shapiro asymptotic reference,2048,3.1982946467213323e-09,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,3^(4/3) M^(-8/3)/2,R0.72C theorem and deterministic certificates,n=11; S_M=2865409024; reference slope only
A,coherent exact launch,8192,3.097984011757422e-13,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,2^(-1/3) M^(2/3) S_M^(-4/3),R0.72C theorem and deterministic certificates,n=13; S_M=183285493760; R0.72B coherent equal-modulus identity
A,Rudin-Shapiro exact launch,8192,7.930839070098998e-11,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,(1/2)(M/S_M)^(4/3),R0.72C theorem and deterministic certificates,n=13; S_M=183285493760; R0.72C odd-generation endpoint identity
A,coherent asymptotic reference,8192,3.0987404093687085e-13,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,(81/2)^(1/3) M^(-10/3),R0.72C theorem and deterministic certificates,n=13; S_M=183285493760; reference slope only
A,Rudin-Shapiro asymptotic reference,8192,7.932775447983913e-11,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,3^(4/3) M^(-8/3)/2,R0.72C theorem and deterministic certificates,n=13; S_M=183285493760; reference slope only
A,coherent exact launch,32768,3.0499453036756637e-15,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,2^(-1/3) M^(2/3) S_M^(-4/3),R0.72C theorem and deterministic certificates,n=15; S_M=11728660905984; R0.72B coherent equal-modulus identity
A,Rudin-Shapiro exact launch,32768,1.9674574280340366e-12,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,(1/2)(M/S_M)^(4/3),R0.72C theorem and deterministic certificates,n=15; S_M=11728660905984; R0.72C odd-generation endpoint identity
A,coherent asymptotic reference,32768,3.0501314608777275e-15,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,(81/2)^(1/3) M^(-10/3),R0.72C theorem and deterministic certificates,n=15; S_M=11728660905984; reference slope only
A,Rudin-Shapiro asymptotic reference,32768,1.9675775142433083e-12,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,3^(4/3) M^(-8/3)/2,R0.72C theorem and deterministic certificates,n=15; S_M=11728660905984; reference slope only
A,coherent exact launch,131072,3.0022392146569046e-17,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,2^(-1/3) M^(2/3) S_M^(-4/3),R0.72C theorem and deterministic certificates,n=17; S_M=750608527851520; R0.72B coherent equal-modulus identity
A,Rudin-Shapiro exact launch,131072,4.880135872109106e-14,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,(1/2)(M/S_M)^(4/3),R0.72C theorem and deterministic certificates,n=17; S_M=750608527851520; R0.72C odd-generation endpoint identity
A,coherent asymptotic reference,131072,3.002285025395663e-17,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,(81/2)^(1/3) M^(-10/3),R0.72C theorem and deterministic certificates,n=17; S_M=750608527851520; reference slope only
A,Rudin-Shapiro asymptotic reference,131072,4.88021033740438e-14,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,3^(4/3) M^(-8/3)/2,R0.72C theorem and deterministic certificates,n=17; S_M=750608527851520; reference slope only
A,coherent exact launch,524288,2.9551778685036597e-19,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,2^(-1/3) M^(2/3) S_M^(-4/3),R0.72C theorem and deterministic certificates,n=19; S_M=48038533464326144; R0.72B coherent equal-modulus identity
A,Rudin-Shapiro exact launch,524288,1.2104408549390986e-15,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,(1/2)(M/S_M)^(4/3),R0.72C theorem and deterministic certificates,n=19; S_M=48038533464326144; R0.72C odd-generation endpoint identity
A,coherent asymptotic reference,524288,2.9551891416251245e-19,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,(81/2)^(1/3) M^(-10/3),R0.72C theorem and deterministic certificates,n=19; S_M=48038533464326144; reference slope only
A,Rudin-Shapiro asymptotic reference,524288,1.2104454724096555e-15,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,3^(4/3) M^(-8/3)/2,R0.72C theorem and deterministic certificates,n=19; S_M=48038533464326144; reference slope only
B,coherent exact launch,0.0,1.4285714285714286,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(5/2,(10+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-10/3 coherent prefactor
B,arbitrary-phase exact launch,0.0,1.1428571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(2,(8+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; sharp phase-uniform M^-8/3 prefactor
B,fixed-positive-time tail,0.0,1.2857142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(9/4,(9+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-3 tail prefactor; excludes the pre-ledger
B,coherent exact launch,0.025,1.4392857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(5/2,(10+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-10/3 coherent prefactor
B,arbitrary-phase exact launch,0.025,1.1535714285714285,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(2,(8+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; sharp phase-uniform M^-8/3 prefactor
B,fixed-positive-time tail,0.025,1.2964285714285713,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(9/4,(9+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-3 tail prefactor; excludes the pre-ledger
B,coherent exact launch,0.05,1.45,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(5/2,(10+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; M^-10/3 coherent prefactor
B,arbitrary-phase exact launch,0.05,1.1642857142857144,beta in L=M^-beta,alpha in eta=M^alpha,analytic sufficient boundary,"min(2,(8+3 beta)/7)",R0.72C power-law corollary,strict inequality below curve; sharp phase-uniform M^-8/3 prefactor
