metric,value,unit
wall_time,599.02,seconds
user_time,580.20,seconds
system_time,18.23,seconds
maximum_resident_set_size,4533977088,bytes
peak_memory_footprint,4513025984,bytes
swaps,0,count
states,320,count
moment_channels_per_state,210,count
finite_jet_dimension,67200,count
time_order_shuffles,10,count
checks_passed,14,count
process_status,exited:0,status
