x,y,z,normalized_stretching
-3.1415926535897931,-3.1415926535897931,-3.1415926535897931,5.5100280519803214e-48
-3.0925052683774528,-3.1415926535897931,-3.1415926535897931,2.2076917375503356e-33
-3.043417883165112,-3.1415926535897931,-3.1415926535897931,4.4100649523339683e-33
-2.9943304979527716,-3.1415926535897931,-3.1415926535897931,6.6018139343713404e-33
-2.9452431127404308,-3.1415926535897931,-3.1415926535897931,8.7776585683902256e-33
-2.8961557275280905,-3.1415926535897931,-3.1415926535897931,1.0932357054085751e-32
-2.8470683423157501,-3.1415926535897931,-3.1415926535897931,1.3060718534076599e-32
-2.7979809571034093,-3.1415926535897931,-3.1415926535897931,1.5157615599135045e-32
-2.748893571891069,-3.1415926535897931,-3.1415926535897931,1.7217996640564827e-32
-2.6998061866787286,-3.1415926535897931,-3.1415926535897931,1.92368980199691e-32
-2.6507188014663878,-3.1415926535897931,-3.1415926535897931,2.1209456027090023e-32
-2.6016314162540475,-3.1415926535897931,-3.1415926535897931,2.3130918596912726e-32
-2.5525440310417071,-3.1415926535897931,-3.1415926535897931,2.4996656757806285e-32
-2.5034566458293663,-3.1415926535897931,-3.1415926535897931,2.6802175783121755e-32
-2.454369260617026,-3.1415926535897931,-3.1415926535897931,2.8543126019382332e-32
-2.4052818754046852,-3.1415926535897931,-3.1415926535897931,3.0215313364979666e-32
-2.3561944901923448,-3.1415926535897931,-3.1415926535897931,3.1814709374131869e-32
-2.3071071049800045,-3.1415926535897931,-3.1415926535897931,3.3337460961762369e-32
-2.2580197197676637,-3.1415926535897931,-3.1415926535897931,3.477989968591928e-32
-2.2089323345553233,-3.1415926535897931,-3.1415926535897931,3.6138550585373381e-32
-2.1598449493429825,-3.1415926535897931,-3.1415926535897931,3.7410140551104132e-32
-2.1107575641306422,-3.1415926535897931,-3.1415926535897931,3.8591606211505957e-32
-2.0616701789183018,-3.1415926535897931,-3.1415926535897931,3.9680101312318792e-32
-2.0125827937059615,-3.1415926535897931,-3.1415926535897931,4.0673003573503846e-32
-1.9634954084936207,-3.1415926535897931,-3.1415926535897931,4.1567921006545975e-32
-1.9144080232812801,-3.1415926535897931,-3.1415926535897931,4.2362697676963478e-32
-1.8653206380689396,-3.1415926535897931,-3.1415926535897931,4.3055418898143078e-32
-1.8162332528565992,-3.1415926535897931,-3.1415926535897931,4.364441584398776e-32
-1.7671458676442586,-3.1415926535897931,-3.1415926535897931,4.412826956926494e-32
-1.7180584824319181,-3.1415926535897931,-3.1415926535897931,4.4505814427969843e-32
-1.6689710972195777,-3.1415926535897931,-3.1415926535897931,4.4776140881468823e-32
-1.6198837120072371,-3.1415926535897931,-3.1415926535897931,4.4938597689657604e-32
-1.5707963267948966,-3.1415926535897931,-3.1415926535897931,4.4992793479855728e-32
-1.521708941582556,-3.1415926535897931,-3.1415926535897931,4.4938597689657604e-32
-1.4726215563702154,-3.1415926535897931,-3.1415926535897931,4.4776140881468823e-32
-1.4235341711578751,-3.1415926535897931,-3.1415926535897931,4.4505814427969843e-32
-1.3744467859455345,-3.1415926535897931,-3.1415926535897931,4.412826956926494e-32
-1.3253594007331939,-3.1415926535897931,-3.1415926535897931,4.364441584398776e-32
-1.2762720155208536,-3.1415926535897931,-3.1415926535897931,4.3055418898143078e-32
-1.227184630308513,-3.1415926535897931,-3.1415926535897931,4.2362697676963478e-32
-1.1780972450961724,-3.1415926535897931,-3.1415926535897931,4.1567921006545975e-32
-1.1290098598838321,-3.1415926535897931,-3.1415926535897931,4.0673003573503846e-32
-1.0799224746714913,-3.1415926535897931,-3.1415926535897931,3.9680101312318786e-32
-1.0308350894591509,-3.1415926535897931,-3.1415926535897931,3.8591606211505957e-32
-0.98174770424681057,-3.1415926535897931,-3.1415926535897931,3.7410140551104132e-32
-0.93266031903446978,-3.1415926535897931,-3.1415926535897931,3.613855058537337e-32
-0.88357293382212942,-3.1415926535897931,-3.1415926535897931,3.4779899685919275e-32
-0.83448554860978863,-3.1415926535897931,-3.1415926535897931,3.3337460961762358e-32
-0.78539816339744828,-3.1415926535897931,-3.1415926535897931,3.1814709374131863e-32
-0.73631077818510793,-3.1415926535897931,-3.1415926535897931,3.0215313364979666e-32
-0.68722339297276713,-3.1415926535897931,-3.1415926535897931,2.8543126019382327e-32
-0.63813600776042678,-3.1415926535897931,-3.1415926535897931,2.6802175783121749e-32
-0.58904862254808599,-3.1415926535897931,-3.1415926535897931,2.4996656757806279e-32
-0.53996123733574564,-3.1415926535897931,-3.1415926535897931,2.3130918596912723e-32
-0.49087385212340529,-3.1415926535897931,-3.1415926535897931,2.120945602709002e-32
-0.44178646691106449,-3.1415926535897931,-3.1415926535897931,1.9236898019969095e-32
-0.39269908169872414,-3.1415926535897931,-3.1415926535897931,1.7217996640564821e-32
-0.34361169648638379,-3.1415926535897931,-3.1415926535897931,1.5157615599135037e-32
-0.29452431127404299,-3.1415926535897931,-3.1415926535897931,1.3060718534076594e-32
-0.24543692606170264,-3.1415926535897931,-3.1415926535897931,1.0932357054085745e-32
-0.19634954084936229,-3.1415926535897931,-3.1415926535897931,8.7776585683902201e-33
-0.1472621556370215,-3.1415926535897931,-3.1415926535897931,6.6018139343713349e-33
-0.098174770424681146,-3.1415926535897931,-3.1415926535897931,4.4100649523339635e-33
-0.049087385212340351,-3.1415926535897931,-3.1415926535897931,2.2076917375503301e-33
0,-3.1415926535897931,-3.1415926535897931,-0
0.049087385212340351,-3.1415926535897931,-3.1415926535897931,-2.2076917375503301e-33
0.098174770424681146,-3.1415926535897931,-3.1415926535897931,-4.4100649523339635e-33
0.1472621556370215,-3.1415926535897931,-3.1415926535897931,-6.6018139343713349e-33
0.19634954084936229,-3.1415926535897931,-3.1415926535897931,-8.7776585683902201e-33
0.24543692606170264,-3.1415926535897931,-3.1415926535897931,-1.0932357054085745e-32
0.29452431127404299,-3.1415926535897931,-3.1415926535897931,-1.3060718534076594e-32
0.34361169648638379,-3.1415926535897931,-3.1415926535897931,-1.5157615599135037e-32
0.39269908169872414,-3.1415926535897931,-3.1415926535897931,-1.7217996640564821e-32
0.44178646691106449,-3.1415926535897931,-3.1415926535897931,-1.9236898019969095e-32
0.49087385212340529,-3.1415926535897931,-3.1415926535897931,-2.120945602709002e-32
