radiusRatio,scalarSourceRMinus3,velocityGeneratedRMinus5
1,1,1
1.1143867425958924,0.72259040348852355,0.58186242938878907
1.241857812073484,0.52213689121370699,0.33856388673422322
1.383909881963832,0.37729110689835565,0.19699760563848576
1.5422108254079407,0.27262693316631448,0.11462550540058393
1.7186192981224779,0.19699760563848581,0.066696275042301467
1.9152065613971474,0.14234857934458645,0.038808056627296368
2.1342808013536474,0.10285971738462278,0.022580950109016344
2.3784142300054421,0.074325444687670078,0.013139006488339293
2.6504732863194826,0.053706853066327429,0.0076450942350601561
2.9536522918789987,0.038808056627296375,0.0044483931045183264
3.2915109563079294,0.028042329296923556,0.0025883528186713706
3.6680161728186849,0.020263118041422026,0.0015060652591874423
4.0875885946164665,0.01464193464148672,0.00087632279052886114
4.5551545390267671,0.01058012146044447,0.00050989930782588541
5.0762038287669329,0.007645094235060157,0.00029669124999523168
5.6568542494923806,0.0055242717280199012,0.00017263349150062188
6.3039233804315469,0.0039917857369301413,0.00010044894275842063
7.0250086414931987,0.0028844260662880838,5.8447465862950021e-05
7.8285764967016025,0.00208425859507192,3.4008384478634385e-05
8.7240618613220633,0.0015060652591874413,1.9788201212326173e-05
9.7219788798437534,0.0010882683033163006,1.1514010830638282e-05
10.834044375495141,0.00078637223239709693,6.6995703139240261e-06
12.073315420747381,0.00056822502869998911,3.8982282587208445e-06
13.454342644059432,0.00041059395276060284,2.2682325649313378e-06
14.9933410728824,0.00029669124999523162,1.3197993106497114e-06
16.708380518838624,0.0002143862500455687,7.6794163320028933e-07
18.61959774044124,0.00015491344692281902,4.4683638432271485e-07
20.749432874416158,0.00011193897011775766,2.599973041213171e-07
23.122892911632746,8.0886025583480292e-05,1.512826630105654e-07
25.767845311188072,5.8447465862950028e-05,8.8025697823732999e-08
28.715345200049718,4.2233577940790759e-05,5.1218846384360702e-08
32,3.0517578125e-05,2.9802322387695312e-08
