method,radius_exact,radius_decimal,exact,decimal,status
improved,329/1000,0.32900000000000001465,41516878488916708411428962653039712679893690352988328276879347033456030995353823772155870412685745437825467986280079177732188292630083457565226446296795873677192679859559596270959800680049739424422117046839346781007060252108058733119557612355776260863296126966924306101779877583231345281090822361405596477392575166171454263881038487493751420903289487174259022791483649838243711652487586781223756561546579642806479147505534660293791639449866481805534433965422710098939/41772265381072930398166051335923813967279846474612387122289094034449554060327207805365410071772850089372947604518580464590665576963398767624022930924111896744831061132072982556341250934820293257147187200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99388620919104042617,passes
legacy,33/100,0.33000000000000001554,611079553437172313124714624420166495056407183266078808206745121585570933973324845320095280381503416374626551783388130640783562948088575989360448264390480992849660903947598314649299521208669112654723553404412202459120068344521335014657039887793158559824686285418653337657195300371607422605292906483980069698017308258321116167668122429640258646419634507801/609329467287339258562764868066923424200588865150832826051905708279534274654761958180927889782892608530643365867772795408615519033190288688998618661485458892032724854374400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0028721508539939489,fails
improved,33/100,0.33000000000000001554,151570433907568493962229034700099439936214551896091722922655642731745715526928093433668878537731290580714051484177519470259407058866266693454526377276965941154192692173315083396437914186692878743748894273727353329259806479239802323561307640645166389509396740432336274127159545363621018435011756038586074681324428981950989400110126933901228310308973754614007343989802406789626973/151740164017157023154215287837343383666835098651582058971410833307052980472778188988544682799548933920318911642420939277179898619787317626847917547441244038069911911735609695631633023294767104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99888144242700738218,passes
improved,331/1000,0.33100000000000001643,19349881940270927294432322922060204792230830387017235085377364721167452923791164871295201312280074051965899540304088364341632206869442432562116214597150422090688163228335832753949600534842720373367416449344785446771110599124987199045392001251633954244259485257987611743712293833937590466465836837989384189092986315282907868857982440027586255790861419427429210004125994259564059173477131360288300194598767990708270967179363398235416178655212504115559265426844647673786878493224613320646895303503/19274796458287783442199508845744323467380658797282950606845714995261923703112259578440231813402183862804723202236823730583279505228946490926607596304116948991235404990139041485364080505038189247567577643230054477425880412350054400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.003895526582894604,fails
