order,label,kind,status,radiusExact,radiusDecimal,gainPpmExact,gainPpmDecimal,classification
1,R0.53 witness lower,formal lower,certified,382628602237879637/1000000000000000000,0.382628602237879637,20651946404027619523855564493834537000000/1913122359242994157380476144435506165463,10.794890511968829171937560381273,formal exact comparison
2,100-digit symmetric candidate,diagnostic point,not proof,,0.382628912530472845561815315783134233816876642837,,11.605849078496016408180175954837,100-digit diagnostic; not used by theorem
3,R0.54 complete-family upper,formal upper,certified,382629/1000000,0.382629,22640757005842619523855564493834537000000/1913122359242994157380476144435506165463,11.834453189288619120187538375880,formal exact comparison
