delta,normalized_negative_mass,negative_to_signed_ratio,leading_asymptote
0.001,0.31781004533874707,317.81004533874705,318.30988618379064
0.0010351285278932232,0.31779249245295943,307.00776173153707,307.50759698570045
0.0010714910692583926,0.31777432337387279,296.57206904562707,297.07189851251059
0.0011091309731721757,0.31775551648510225,286.49052652123129,286.99034999753621
0.0011480931115004937,0.31773604941302575,276.75111559354485,277.250932868831
0.0011884239323918563,0.31771589900033476,267.34222556498889,267.8420364214233
0.0012301715156498589,0.31769504127866621,258.2526397636824,258.75244397578012
0.0012733856300508137,0.31767345144028519,249.47152217165245,249.97131950600752
0.0013181177926748849,0.3176511038087847,240.98840450682974,241.48819472183709
0.0013644213303214184,0.31762797180877017,232.79317374344049,233.29295658900762
0.0014123514430817233,0.31760402793449244,224.87606005590695,225.37583527315601
0.0014619652701450552,0.31757924371739488,217.2276251718927,217.72739249285192
0.0015133219579162695,0.31755358969253639,209.83875112060343,210.33851026788739
0.0015664827305263602,0.31752703536385235,202.70062936292877,203.20038004940793
0.0016215109628199081,0.31749954916821455,195.80475029047176,196.30449221893022
0.0016784722559064962,0.31747109843824822,189.14289308094098,189.64262594372187
0.0017374345153661091,0.31744164936386443,182.70711589781772,183.20683937645671
0.0017984680322017982,0.3174111669524648,176.48974642260947,176.98946018745497
0.0018616455666360693,0.31737961498777228,170.48337270840793,170.98307641822817
0.0019270424348509401,0.31734695598724288,164.68083434384266,165.18052764541869
0.0019947365987750282,0.31731315115800934,159.07521391690111,159.574896444606
0.0020648087590247302,0.31727816035130785,153.65982876843648,154.15950014379916
0.0021373424511103045,0.31724194201533618,148.42822302553139,148.92788285678571
0.0022124241450215032,0.31720445314649132,143.37415990522391,143.87380778684141
0.0022901433483115338,0.31716564923893092,138.4916142794159,138.99124979162229
0.0023705927128021753,0.3171254842324035,133.77476549210479,134.27438820037978
0.0024538681450373212,0.31708391045828876,129.21799042037208,129.71759987493112
0.0025400689206165569,0.31704087858378893,124.81585677085992,125.31545250611805
0.002629297802545145,0.3169963375542082,120.5631166037402,121.06269813775698
0.0027216611637414455,0.31695023453325821,116.45470007645966,116.95426691036465
0.0028172691138478394,0.3169025148413227,112.48570939980091,112.98526101719887
0.0029162356304963631,0.31685312189161463,108.65141299905319,109.15094886540844
0.003018678695185466,0.3168019971241553,104.94723987333509,105.4467594353343
0.0031247204339299706,0.31674907993750417,101.36877414634111,101.86827683123363
0.0032344872628518044,0.31669430761816547,97.911749802019727,98.411235016934668
0.0033481100388851729,0.31663761526759449,94.572045598903301,95.071512730142814
0.0034657242157757318,0.31657893572672563,91.345680157030586,91.845128569338144
0.0035874700055598292,0.31651819949794152,88.228807211601605,88.728236247404681
0.0037134925457162431,0.31645533466439918,85.217711027709242,85.717120006335279
0.0038439420721897133,0.31639026680662774,82.308801970679824,82.808190187544753
0.003978974098492568,0.31632291891630965,79.498612226741656,79.997978952509939
0.0041187496010978777,0.31625321130715439,76.78379166892185,77.283136148636771
0.0042634352113452506,0.31618106152277048,74.161103863240186,74.660425315423922
0.0044132034140879428,0.31610638424144133,71.627422210442035,72.126719826163821
0.004568232753318204,0.31602909117770406,69.179726218667739,69.678999160579451
0.0047287080450158789,0.31594909098063129,66.815097902617566,67.314345303955392
0.0048948205974741286,0.31586628912871073,64.530718304917457,65.029939268468368
0.0050667684393648276,0.31578058782121499,62.323864135539885,62.823057732572082
0.0052447565558155634,0.31569188586595259,60.191904525273486,60.691069794428856
0.0054289971327796966,0.31560007856328581,58.132297889370165,58.631433835518173
0.0056197098099907772,0.31550505758630004,56.142588897631676,56.641694490682795
0.005817121942802865,0.31540671085700528,54.220405547323423,54.719479721000887
0.0060214688732288966,0.31530492241844787,52.363456335425958,52.862497985994423
0.0062329942105003007,0.31519957230260737,50.569527526852525,51.068535511801969
0.00645195012148216,0.31509053639394996,48.836480515377339,49.335453652060728
0.0066785976312903313,0.3149776862885072,47.162249274126772,47.661186338349886
0.0069132069344687358,0.31486088914834653,45.544837892595631,46.043737617157277
0.0071560577170978528,0.31474000755129455,43.982318197251452,44.481179270432378
0.0074074394902184405,0.31461489933577386,42.47282745289035,42.971648516889054
0.0076676519349679426,0.31448541744060887,41.014566142004163,41.513345791317732
0.0079370052598409999,0.31435140973965492,39.605795819511933,40.104532599259898
0.0082158205704999845,0.31421271887109975,38.244837040297966,38.743529444487308
0.0085044302525765191,0.31406918206128587,36.930067357085427,37.428713826814551
0.008803178367920125,0.31392063094289752,35.659919386259773,36.158518307859289
0.0091124210647666286,0.31376689136735414,34.432878939334856,34.93142864244308
0.0094325270023150869,0.31360778321124938,33.247483217835324,33.745981973406046
0.0097638777902195051,0.3134431201766722,32.102319069442757,32.600765087682916
0.010106868443519254,0.31327270958524261,30.996021303326646,31.494412731561571
0.010461907853550565,0.31309635216569559,29.927271062652007,30.425605983115457
0.010829419275400346,0.31291384183484039,28.894794252323607,29.39307067987016
0.011209840832483664,0.31272496547172379,27.897360020091927,28.395575899828863
0.011603626038846166,0.31252950268482282,26.933779289210868,27.431932494046709
0.012011244339814311,0.31232722557208981,26.002903340897173,26.500991669004016
0.012433181671637806,0.3121178984736741,25.10362244490225,25.601643617088737
