record_type,sample_index,j,N,l2_norm,heat_trace_norm,hhalf_seminorm,heat_to_l2_ratio,hhalf_to_l2_ratio,hhalf_to_heat_ratio,n,g_l4_fourth,g_l4_norm,fractional_output
shear_norm,0,0,1,0.70710678118654757,0.58249652537535646,0.70710678118654757,0.82377448622103278,1,1.2139244620058347,,,,
shear_norm,1,1,2,0.59460355750136051,0.34635450622036845,0.84089641525371461,0.58249652537535646,1.4142135623730951,2.4278489240116694,,,,
shear_norm,2,2,4,0.50000000000000011,0.20594362155525822,1.0000000000000002,0.41188724311051633,2,4.8556978480233388,,,,
shear_norm,3,3,8,0.42044820762685731,0.12245481002147039,1.189207115002721,0.29124826268767817,2.8284271247461898,9.7113956960466776,,,,
shear_norm,4,4,16,0.35355339059327379,0.072812065671919557,1.4142135623730951,0.20594362155525819,4,19.422791392093355,,,,
shear_norm,5,5,32,0.29730177875068026,0.043294313277546057,1.6817928305074292,0.14562413134383911,5.6568542494923806,38.845582784186711,,,,
shear_norm,6,6,64,0.25000000000000006,0.025742952694407278,2.0000000000000004,0.10297181077762908,8,77.691165568373421,,,,
shear_norm,7,7,128,0.21022410381342865,0.015306851252683799,2.3784142300054421,0.072812065671919543,11.313708498984759,155.38233113674684,,,,
shear_norm,8,8,256,0.17677669529663689,0.0091015082089899446,2.8284271247461903,0.051485905388814548,16,310.76466227349368,,,,
shear_norm,9,9,512,0.14865088937534013,0.0054117891596932571,3.3635856610148585,0.036406032835959778,22.627416997969522,621.52932454698737,,,,
shear_norm,10,10,1024,0.12500000000000003,0.0032178690868009097,4.0000000000000009,0.025742952694407271,32,1243.0586490939747,,,,
shear_norm,11,11,2048,0.10511205190671433,0.0019133564065854749,4.7568284600108841,0.018203016417979886,45.254833995939038,2486.1172981879495,,,,
shear_norm,12,12,4096,0.088388347648318447,0.0011376885261237431,5.6568542494923806,0.012871476347203637,64,4972.2345963758989,,,,
shear_norm,13,13,8192,0.074325444687670064,0.00067647364496165713,6.7271713220297169,0.0091015082089899446,90.509667991878089,9944.4691927517979,,,,
shear_norm,14,14,16384,0.062500000000000014,0.00040223363585011371,8.0000000000000018,0.0064357381736018177,128,19888.938385503596,,,,
shear_norm,15,15,32768,0.052556025953357163,0.00023916955082318436,9.5136569200217682,0.0045507541044949714,181.01933598375615,39777.876771007192,,,,
shear_norm,16,16,65536,0.044194173824159223,0.00014221106576546788,11.313708498984761,0.0032178690868009093,256,79555.753542014383,,,,
shear_norm,17,17,131072,0.037162722343835032,8.4559205620207142e-05,13.454342644059434,0.0022753770522474862,362.03867196751236,159111.50708402877,,,,
shear_norm,18,18,262144,0.031250000000000007,5.0279204481264214e-05,16.000000000000004,0.0016089345434004544,512,318223.01416805753,,,,
shear_norm,19,19,524288,0.026278012976678582,2.9896193852898045e-05,19.027313840043536,0.0011376885261237429,724.0773439350246,636446.02833611507,,,,
shear_norm,20,20,1048576,0.022097086912079612,1.7776383220683486e-05,22.627416997969522,0.00080446727170022732,1024,1272892.0566722301,,,,
shear_norm,21,21,2097152,0.018581361171917516,1.0569900702525893e-05,26.908685288118868,0.00056884426306187154,1448.1546878700494,2545784.1133444603,,,,
shear_norm,22,22,4194304,0.015625000000000003,6.2849005601580268e-06,32.000000000000007,0.00040223363585011361,2048,5091568.2266889205,,,,
shear_norm,23,23,8388608,0.013139006488339291,3.7370242316122556e-06,38.054627680087073,0.00028442213153093572,2896.3093757400984,10183136.453377841,,,,
