name,value,rigor
coefficient lower,0.051669755154448563777419334791035002963041,strict
coefficient upper,0.051669755158335451364049182378500819122676,strict
absolute Taylor tail,1.9434437933149237937329080798179725977375E-12,upper
signal-to-tail lower ratio,26586698999.05655757022530661,strict lower
