amplitudeLaw,annularL1WithTailBuckets,cancellationRatioWithTailBuckets,epsilon,far,innerAmplitude,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j0,j1,jMax,jMin,near,outerAmplitude,pointsPerZonePair,reconstructed,replicate,sampleReconstructionResidual,separation,total,zonePairs,zones
fixed:0.1595,0.026232748522780104,0.8134483481531009,0.25,0.0,0.8405,-0.00010221866750453022,0.0019489479684630987,0.009595471278388928,0.005899475134558321,0.003209552279134195,0.0001633069949278854,-0.001710739961077879,0.001220495379918519,-0.0006339226561220562,7.92634162628294e-05,1,-8,0.0016693547864218615,0.1595,524288,0.021338985953371175,0,6.938893903907228e-18,2,0.021338985953371168,10,4
fixed:0.1595,0.04519759096054632,0.915789105180841,0.25,0.0,0.8405,0.00022213436093394823,0.0018775114187627143,0.008820719430716798,0.013348450336433955,0.007247709587735797,0.0077444624803058165,0.003953681889404319,-0.001221312328498335,-0.0006158040075921333,7.985666702400149e-05,1,-8,-6.594845313849922e-05,0.1595,524288,0.04139146138208838,1,-1.3877787807814457e-17,2,0.04139146138208839,10,4
fixed:0.1595,0.030022799639903473,0.3148611493353836,0.25,0.0,0.8405,-9.748101052700891e-06,0.0016805213071330602,0.012880246876027672,0.005096758440429911,-0.004844367951381748,-0.0013348396248087171,-0.00192751706443365,-0.0005698173222032771,-0.0007032875910936937,8.03797968040681e-05,1,-8,-0.0008953155645349761,0.1595,524288,0.009453013200885948,2,-8.673617379884035e-18,2,0.009453013200885957,10,4
fixed:0.1595,0.04170735657559461,0.223910521208436,0.25,0.0,0.8405,-0.00033080591209848267,-5.583961843047764e-05,0.01416469887057662,0.0070524059381467255,0.001135187939532589,-0.014373426598327984,9.068367473632634e-05,-0.0007280856791667094,-0.0006961625052399104,7.996249913877772e-05,1,-8,0.0030000973402000055,0.1595,524288,0.009338715949067478,3,-1.734723475976807e-18,2,0.00933871594906748,10,4
fixed:0.1595,0.03687123658480005,0.5499642262596717,0.25,0.0,0.8405,-1.1392839393319434e-06,0.0018636128995792615,0.013734105212945612,0.007031867575122308,0.0023158860927225047,0.0013609356353209987,-0.0021358463810533025,-0.0055513279063336834,-0.000608374171275276,8.059657097481506e-05,1,-8,0.0021875448555329535,0.1595,524288,0.02027786109959686,4,0.0,2,0.02027786109959686,10,4
fixed:0.1595,0.031234070384511575,0.45020580297709956,0.25,0.0,0.8405,6.178135634152195e-05,0.0016777152536731601,0.01160112277254295,0.007380310610469353,-0.003279218799029268,0.0018505929070390724,-0.004675497194521721,-5.5318977228979745e-05,-0.0005761203526246797,7.639214199023676e-05,1,-8,1.90506322662291e-11,0.1595,524288,0.01406175973770228,5,1.734723475976807e-18,2,0.014061759737702278,10,4
fixed:0.1595,0.033368520255605216,0.5928392934662404,0.25,0.0,0.8405,-0.00021859606338714681,0.0015580221857269098,0.012389985559226262,0.008687251278074152,-0.0056117477581635695,0.003507521071733612,0.00035207054167680883,-0.0003358518558982163,-0.0006269794641802104,8.04944775383255e-05,1,-8,0.0,0.1595,524288,0.019782169972346927,6,3.469446951953614e-18,2,0.019782169972346924,10,4
fixed:0.1595,0.03327610127786141,0.5559556537980684,0.25,0.0,0.8405,0.0006709189917534958,0.00238228804683102,0.013189123512268607,0.0074436528894552935,-0.0018499276022896259,0.001478465616134909,0.0002660750402870437,-0.004887167848228435,-0.0006509368675205545,0.0001046486633480623,1,-8,0.0003528961997443665,0.1595,524288,0.018500036641784182,7,0.0,2,0.018500036641784182,10,4
fixed:0.1595,0.03200514632298934,0.7486652542586886,0.25,0.0,0.8405,-5.641576649201524e-05,0.0013467755333252513,0.010609998604493014,0.00683700812436002,0.005940194396081488,-0.0014926706672221475,0.002396293580800137,-0.001847119190663743,-0.0006257970323730907,8.102797920586348e-05,1,-8,0.000771845447972571,0.1595,524288,0.02396114100948735,8,0.0,2,0.02396114100948735,10,4
fixed:0.1595,0.027008591303369328,0.45498162794602237,0.25,0.0,0.8405,-0.00024299935212500606,0.0029724282649908427,0.009784766387770654,0.006688708014209624,-0.0003094088847954337,0.0001246315917439672,-0.0041763443006460855,-0.0019715007446723483,-0.0005823369600776668,7.796781283745584e-05,1,-8,-7.74989895002442e-05,0.1595,524288,0.012288412839735759,9,-8.673617379884035e-18,2,0.012288412839735767,10,4
