N,epsilon,absoluteLambda,fastStep,physicalTime,fastTime,finiteTopDimension,finiteTopSpectralAbscissa,finiteTopRealGap,projectorIdempotenceResidual,projectorCommutatorResidual,logFullNorm,logTopConorm,normalizedFullRate,normalizedTopRate,topConormNoLargerThanFullNorm,r073bUpperLogBound,r073bUpperSlack
24,0.01,100.0,0.25,0.0,0.0,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,-2.220446049250313e-16,0.0,0.0,0.0,True,31.25,31.25
24,0.01,100.0,0.25,0.001,0.1,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.02449281812471038,0.015610026978917668,0.2449281812471038,0.15610026978917668,True,31.25,31.22550718187529
24,0.01,100.0,0.25,0.002,0.2,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.048911544005463714,0.031177118052069908,0.2445577200273186,0.15588559026034954,True,31.25,31.201088455994537
24,0.01,100.0,0.25,0.003,0.3,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.07324630577980829,0.046701704807690536,0.24415435259936094,0.15567234935896845,True,31.25,31.176753694220192
24,0.01,100.0,0.25,0.004,0.4,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.09748752051408505,0.062184211286190116,0.24371880128521262,0.1554605282154753,True,31.25,31.152512479485914
24,0.01,100.0,0.25,0.005,0.5,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.1216259461165512,0.07762505408313669,0.2432518922331024,0.15525010816627338,True,31.25,31.128374053883448
24,0.01,100.0,0.25,0.006,0.6,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.14565272846433386,0.09302464245511022,0.24275454744055644,0.15504107075851703,True,31.25,31.104347271535666
24,0.01,100.0,0.25,0.007,0.7,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.16955944321372196,0.10838337842792223,0.2422277760196028,0.1548333977541746,True,31.25,31.08044055678628
24,0.01,100.0,0.25,0.008,0.8,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.19333813189898663,0.12370165690672219,0.2416726648737333,0.15462707113340274,True,31.25,31.056661868101013
24,0.01,100.0,0.25,0.009,0.8999999999999999,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.21698133206405945,0.1389798657875747,0.24109036896006605,0.15442207309730527,True,31.25,31.03301866793594
24,0.01,100.0,0.25,0.01,1.0,1,0.15631640701491004,0.1483399001377229,1.42706284064814e-16,3.758261474761584e-15,0.2404821013087055,0.1542183860701305,0.2404821013087055,0.1542183860701305,True,31.25,31.009517898691293
24,0.001,1000.0,0.25,0.0,0.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,True,312.5,312.5
24,0.001,1000.0,0.25,0.001,1.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,0.2629879615284878,0.1687403127730811,0.2629879615284878,0.1687403127730811,True,312.5,312.2370120384715
24,0.001,1000.0,0.25,0.002,2.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,0.5164675850265934,0.3370828740829974,0.2582337925132967,0.1685414370414987,True,312.5,311.9835324149734
24,0.001,1000.0,0.25,0.003,3.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,0.7556046664696662,0.5050394526222397,0.2518682221565554,0.16834648420741322,True,312.5,311.74439533353035
24,0.001,1000.0,0.25,0.004,4.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,0.9798615494446089,0.6726201591203679,0.24496538736115225,0.16815503978009197,True,312.5,311.5201384505554
24,0.001,1000.0,0.25,0.005,5.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,1.19106620162809,0.8398340875845958,0.238213240325618,0.16796681751691914,True,312.5,311.3089337983719
24,0.001,1000.0,0.25,0.006,6.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,1.3917051233453996,1.0066895871469645,0.23195085389089995,0.16778159785782742,True,312.5,311.1082948766546
24,0.001,1000.0,0.25,0.007,7.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,1.5840875447658407,1.1731943370500142,0.22629822068083438,0.16759919100714488,True,312.5,310.91591245523415
24,0.001,1000.0,0.25,0.008,8.0,1,0.16894375143319693,0.1316175451399676,2.85334106760426e-16,2.1441162058618906e-15,1.7700903602202427,1.3393553327075853,0.22126129502753034,0.16741941658844817,True,312.5,310.72990963977975
