N,physicalTime,finiteDriftNorm,analyticBound,ratioToAnalyticBound
96,0.001,0.00138276842708126,0.01225,0.11287905527193959
96,0.0025,0.00344708402970885,0.030625,0.11255784586804408
96,0.005,0.006861554174563297,0.06125,0.11202537427858444
96,0.0075,0.010243738727099546,0.091875,0.11149647594121954
96,0.01,0.013593962679255289,0.1225,0.11097112391228807
