size,spectralValue,evaluationTime,semigroupNorm,lowerReference,closedFormResidual
4,-4.0,0.25,1.5583623203268646,1.4715177646857693,1.1102230246251565e-16
8,-8.0,0.125,2.9883235581288248,2.9430355293715387,1.1102230246251565e-16
16,-16.0,0.0625,5.908974404395736,5.886071058743077,3.554447978966673e-15
32,-32.0,0.03125,11.783627145107104,11.772142117486155,7.106294666405892e-15
64,-64.0,0.015625,23.550030948576712,23.54428423497231,1.4211288389453755e-14
128,-128.0,0.0078125,47.09144235268157,47.08856846994462,2.842192627001133e-14
256,-256.0,0.00390625,94.1785739470296,94.17713693988924,5.684352728092187e-14
