quantity,lower,upper,lowerTimes1e8,upperTimes1e8
positive quartic correction,2.5937453534608412212067659494829142669246594802315e-08,2.6140836268319572192653498568600593256584887565142e-08,2.593745353460841230e+00,2.614083626831957385e+00
complete normalized target,1.0000000259374535346084122120676594948291426692466,1.0000000261408362683195721926534985686005932565849,2.593745351830989421e+00,2.614083616236939633e+00
