schemaVersion,evidenceClass,diagnosticOnly,N,viscousEpsilon,absoluteLambda,coarseFastStep,fineFastStep,linearGainRelativeChange,quadraticNaturalRelativeChange,targetCubicNaturalRelativeChange,tripleCubicNaturalRelativeChange,signedCubicRelativeChange,maximumRelativeChange,passCheck
r073h-step-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,64,0.01,100,0.10000000000000001,0.050000000000000003,7.6433109100171578e-11,1.3314985051659643e-09,5.9901170066025187e-09,2.6050938746590202e-08,8.9904790594390153e-09,2.6050938746590202e-08,true
r073h-step-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,64,0.01,100,0.050000000000000003,0.025000000000000001,4.8007868347642104e-12,8.3207896388841712e-11,3.6465526135271316e-10,1.8913807120364655e-09,5.8970204156396417e-10,1.8913807120364655e-09,true
r073h-step-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,64,0.001,1000,0.10000000000000001,0.050000000000000003,1.01117093022652e-09,1.0463031994329284e-09,2.1363011496504799e-09,8.6177413497891443e-09,4.3266861021196401e-09,8.6177413497891443e-09,true
r073h-step-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,64,0.001,1000,0.050000000000000003,0.025000000000000001,6.3645991633842667e-11,6.5519560507562484e-11,1.338902489771939e-10,5.4052552394756768e-10,2.7378153223985745e-10,5.4052552394756768e-10,true
r073h-step-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,64,0.0001,10000,0.10000000000000001,0.050000000000000003,1.0495952092425727e-08,9.9013228124412348e-10,1.3305969354320472e-09,1.1171804159944331e-08,4.3748916924926036e-09,1.1171804159944331e-08,true
r073h-step-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,64,0.0001,10000,0.050000000000000003,0.025000000000000001,6.5921997990154476e-10,6.1886298846252969e-11,8.3320852845766201e-11,7.0014909759215388e-10,2.7725128754036315e-10,7.0014909759215388e-10,true
