splitDegrees,radialFraction,angularFraction,totalFraction
0.00000000,1.000000000000,0.000000000000,1.000000000000
0.50000000,0.999923847578,0.000076152422,1.000000000000
1.00000000,0.999695413510,0.000304586490,1.000000000000
1.50000000,0.999314767377,0.000685232623,1.000000000000
2.00000000,0.998782025130,0.001217974870,1.000000000000
2.50000000,0.998097349046,0.001902650954,1.000000000000
3.00000000,0.997260947684,0.002739052316,1.000000000000
3.50000000,0.996273075821,0.003726924179,1.000000000000
4.00000000,0.995134034371,0.004865965629,1.000000000000
4.50000000,0.993844170298,0.006155829702,1.000000000000
5.00000000,0.992403876506,0.007596123494,1.000000000000
5.50000000,0.990813591724,0.009186408276,1.000000000000
6.00000000,0.989073800367,0.010926199633,1.000000000000
6.50000000,0.987185032393,0.012814967607,1.000000000000
7.00000000,0.985147863138,0.014852136862,1.000000000000
7.50000000,0.982962913145,0.017037086855,1.000000000000
8.00000000,0.980630847969,0.019369152031,1.000000000000
8.50000000,0.978152377982,0.021847622018,1.000000000000
9.00000000,0.975528258148,0.024471741852,1.000000000000
9.50000000,0.972759287800,0.027240712200,1.000000000000
10.00000000,0.969846310393,0.030153689607,1.000000000000
10.50000000,0.966790213249,0.033209786751,1.000000000000
11.00000000,0.963591927283,0.036408072717,1.000000000000
11.50000000,0.960252426726,0.039747573274,1.000000000000
12.00000000,0.956772728821,0.043227271179,1.000000000000
12.50000000,0.953153893518,0.046846106482,1.000000000000
13.00000000,0.949397023150,0.050602976850,1.000000000000
13.50000000,0.945503262094,0.054496737906,1.000000000000
14.00000000,0.941473796429,0.058526203571,1.000000000000
14.50000000,0.937309853570,0.062690146430,1.000000000000
15.00000000,0.933012701892,0.066987298108,1.000000000000
15.50000000,0.928583650351,0.071416349649,1.000000000000
16.00000000,0.924024048078,0.075975951922,1.000000000000
16.50000000,0.919335283973,0.080664716027,1.000000000000
17.00000000,0.914518786278,0.085481213722,1.000000000000
17.50000000,0.909576022144,0.090423977856,1.000000000000
18.00000000,0.904508497187,0.095491502813,1.000000000000
18.50000000,0.899317755024,0.100682244976,1.000000000000
19.00000000,0.894005376803,0.105994623197,1.000000000000
19.50000000,0.888572980728,0.111427019272,1.000000000000
20.00000000,0.883022221559,0.116977778441,1.000000000000
20.50000000,0.877354790111,0.122645209889,1.000000000000
21.00000000,0.871572412739,0.128427587261,1.000000000000
21.50000000,0.865676850810,0.134323149190,1.000000000000
22.00000000,0.859669900169,0.140330099831,1.000000000000
22.50000000,0.853553390593,0.146446609407,1.000000000000
23.00000000,0.847329185229,0.152670814771,1.000000000000
23.50000000,0.840999180031,0.159000819969,1.000000000000
24.00000000,0.834565303179,0.165434696821,1.000000000000
24.50000000,0.828029514495,0.171970485505,1.000000000000
25.00000000,0.821393804843,0.178606195157,1.000000000000
25.50000000,0.814660195525,0.185339804475,1.000000000000
26.00000000,0.807830737663,0.192169262337,1.000000000000
26.50000000,0.800907511576,0.199092488424,1.000000000000
27.00000000,0.793892626146,0.206107373854,1.000000000000
27.50000000,0.786788218176,0.213211781824,1.000000000000
28.00000000,0.779596451735,0.220403548265,1.000000000000
28.50000000,0.772319517508,0.227680482492,1.000000000000
29.00000000,0.764959632117,0.235040367883,1.000000000000
29.50000000,0.757519037455,0.242480962545,1.000000000000
30.00000000,0.750000000000,0.250000000000,1.000000000000
30.50000000,0.742404810123,0.257595189877,1.000000000000
31.00000000,0.734735781393,0.265264218607,1.000000000000
31.50000000,0.726995249870,0.273004750130,1.000000000000
32.00000000,0.719185573395,0.280814426605,1.000000000000
32.50000000,0.711309130870,0.288690869130,1.000000000000
33.00000000,0.703368321538,0.296631678462,1.000000000000
33.50000000,0.695365564245,0.304634435755,1.000000000000
34.00000000,0.687303296708,0.312696703292,1.000000000000
34.50000000,0.679183974773,0.320816025227,1.000000000000
35.00000000,0.671010071663,0.328989928337,1.000000000000
35.50000000,0.662784077229,0.337215922771,1.000000000000
36.00000000,0.654508497187,0.345491502813,1.000000000000
36.50000000,0.646185852361,0.353814147639,1.000000000000
37.00000000,0.637818677908,0.362181322092,1.000000000000
37.50000000,0.629409522551,0.370590477449,1.000000000000
38.00000000,0.620960947800,0.379039052200,1.000000000000
38.50000000,0.612475527172,0.387524472828,1.000000000000
39.00000000,0.603955845409,0.396044154591,1.000000000000
39.50000000,0.595404497688,0.404595502312,1.000000000000
40.00000000,0.586824088833,0.413175911167,1.000000000000
40.50000000,0.578217232520,0.421782767480,1.000000000000
41.00000000,0.569586550480,0.430413449520,1.000000000000
41.50000000,0.560934671703,0.439065328297,1.000000000000
42.00000000,0.552264231634,0.447735768366,1.000000000000
42.50000000,0.543577871374,0.456422128626,1.000000000000
43.00000000,0.534878236872,0.465121763128,1.000000000000
43.50000000,0.526167978121,0.473832021879,1.000000000000
44.00000000,0.517449748351,0.482550251649,1.000000000000
44.50000000,0.508726203219,0.491273796781,1.000000000000
45.00000000,0.500000000000,0.500000000000,1.000000000000
45.50000000,0.491273796781,0.508726203219,1.000000000000
46.00000000,0.482550251649,0.517449748351,1.000000000000
46.50000000,0.473832021879,0.526167978121,1.000000000000
47.00000000,0.465121763128,0.534878236872,1.000000000000
47.50000000,0.456422128626,0.543577871374,1.000000000000
48.00000000,0.447735768366,0.552264231634,1.000000000000
48.50000000,0.439065328297,0.560934671703,1.000000000000
49.00000000,0.430413449520,0.569586550480,1.000000000000
49.50000000,0.421782767480,0.578217232520,1.000000000000
50.00000000,0.413175911167,0.586824088833,1.000000000000
50.50000000,0.404595502312,0.595404497688,1.000000000000
51.00000000,0.396044154591,0.603955845409,1.000000000000
51.50000000,0.387524472828,0.612475527172,1.000000000000
52.00000000,0.379039052200,0.620960947800,1.000000000000
52.50000000,0.370590477449,0.629409522551,1.000000000000
53.00000000,0.362181322092,0.637818677908,1.000000000000
53.50000000,0.353814147639,0.646185852361,1.000000000000
54.00000000,0.345491502813,0.654508497187,1.000000000000
54.50000000,0.337215922771,0.662784077229,1.000000000000
55.00000000,0.328989928337,0.671010071663,1.000000000000
55.50000000,0.320816025227,0.679183974773,1.000000000000
56.00000000,0.312696703292,0.687303296708,1.000000000000
56.50000000,0.304634435755,0.695365564245,1.000000000000
57.00000000,0.296631678462,0.703368321538,1.000000000000
57.50000000,0.288690869130,0.711309130870,1.000000000000
58.00000000,0.280814426605,0.719185573395,1.000000000000
58.50000000,0.273004750130,0.726995249870,1.000000000000
59.00000000,0.265264218607,0.734735781393,1.000000000000
59.50000000,0.257595189877,0.742404810123,1.000000000000
60.00000000,0.250000000000,0.750000000000,1.000000000000
60.50000000,0.242480962545,0.757519037455,1.000000000000
61.00000000,0.235040367883,0.764959632117,1.000000000000
61.50000000,0.227680482492,0.772319517508,1.000000000000
62.00000000,0.220403548265,0.779596451735,1.000000000000
62.50000000,0.213211781824,0.786788218176,1.000000000000
63.00000000,0.206107373854,0.793892626146,1.000000000000
