input_degree,endpoint,input_charge,exact,decimal,is_global_maximum,classification
6,x=-1,-6,78736111303203864110244963784710208233995065760253506456077127967684881302297536744284229714989661387370092160119831623693240135894322599219041700975918186308570570183007569953595803598844022720837910928585621608906890645326932903306213871835433235173424306231231378966711478415483349583656070783771797842056016466913835094203812291908794266834900442978148495347513179184/138632417249845995746620615851184057710711947449251282094132576748595646020208158886842842509405363074879191611769465853292990683927458524683800582100413513852352171183652179154374508818759668373864335780025417378221801993296126820527077403019173222506961184298794141628859276242115527928393347381315118586653220727123620425381869507297505350607025320641696453094482421875,0.56794877320290926281,False,exact finite column; all-order monotonicity theorem covers every larger degree
6,x=2,12,4168161309142111097948299060357799058331438874943332708870383064866847648463210074293116839584465923621087303417106000728379954065196948826464729443403426168940949504527776502487588377231273690228448182259676730191106155627258316756424797688318907607608695922034057132097285421652188337056775028716670704965095076785915017911374187452389978478175390801943016794267728144/7296443013149789249822137676378108300563786707855330636533293513083981369484639941412781184705545424993641663777340308068052141259339922351778978005284921781702745851771167323914447832566298335466543988422390388327463262805059306343530389632588064342471641278883902190992593486427133048862807756911322030876485301427558969756940500384079228979317122139036655426025390625,0.57125935221177925882,False,exact finite column; all-order monotonicity theorem covers every larger degree
7,x=-1,-7,10289578466676882911277054916254303875067458794457269734076152644773030573960106540222968116130041119641638057464879376918326913086026958790466346301394485951812179416205546197084879972944529902565563703553714461185185436668952907250292475744908722505280772857336849486487784960569732642919574557594669013903991686093845832622958885083814064728492158974441778907016898688/18445325839430986213263446215924067312845780912375768334887400506915820131521366850485700283248589798711071063956950027737717185231417125787746181528409449241114648936671583893113682889247066987577448895626447938086895173791580305515979637588767632699238436054382455412222345334042375445887497415291716200136982673397882548862341568762790444679922075010836124420166015625,0.55784205474324666252,False,exact finite column; all-order monotonicity theorem covers every larger degree
7,x=2,14,936608075931790658986045312294563739385441155939369732504373014253936377771090230857015406971201026446939921358018146424856133367691754566873471165513039761538221813168361312849092231006312390423745747631776604494958100570994165516222688453948797162827323569596576220469411039467641118713789447051184980652959519955356998526879644365271171101092950573994805371804160896/1669164652136366449997493987466209985927625076835836997086030515517010069175473059780492923684580291063201161572278410299289413096542901417218726621700282348279561587625492700522314946449620036676538903498842367822296355933029603821033667089934298949873810364600474201106031250159619312972637223147818533574824319814928661351804105306140257880542776547372341156005859375,0.56112383804259480247,False,exact finite column; all-order monotonicity theorem covers every larger degree
8,x=-1,-8,80020985921393590325975551820249051059569743915238959851870208854574035519996435455634102874329687596157292996390584884611790327546095831609180679747084829370063850456571837443742916264312679499268963343816838718952430081714889281586075105147342833654746324899426593821825485853531115227476763896870433610712723991309529098000488538523928866390567859370104273810696156/145456753550126804652973641425859191637539744356700153363189010644132933320880251184811904643459575138620147278597321754871799530378790638816906529585076632021071319160799386960403714358910476242818713345610789671511101927766015124335622380880785370124552982402615319888756383050764255067717158410005892222985007296390102331479048103357598620277713052928447723388671875,0.55013592678470601971,False,exact finite column; all-order monotonicity theorem covers every larger degree
8,x=2,16,449210536949391147700009399568875023826516060911202759765129887617139803562413822559767042686741386101931209750581075300311734918665527465822931477087193136330396858017572391084650328671929715494012415750826793870029282412059335103876640651574571055457243747117966910945213151785223464687042472708615111449379311796699878538973552864547367188943609123355503531740264756/811737480515115338646277402191398955295524002963039729061776725664037801750234377426818405058155539461900224889555552614285907746310467645934929635252041879624919047886332789702519208960314844091126134191594003460632682978092365968172829860655537880365647765047161976784060261631823164996028670900964709550967696359026276329618788951680841137203969992697238922119140625,0.55339385913821481644,False,exact finite column; all-order monotonicity theorem covers every larger degree
9,x=-1,-9,15483827663475089810919463270419148436014656315958921245360547199591259203695153144593405603993203879098687521296402482002783084023182933938669228797251061767586846410549599582577099935902250821641560832801957563639569936260862883706662985946199072148360114711964954600769934938375778169371740224027193193277652457483567436560581658541851828834659765209719331785893385157824/28459632029357160217986863760459331858226113761598881906581472255599117334763467306066742826825370092897002156088516182592951680715323040018999480859027338591346751093044525654511709540321347050241180997062170274758847669880915221182134868175991823162459662877948505643474407638563381853784336063026522854672577572589798251870196114758637673247676502796821296215057373046875,0.5440628201904701422,False,exact finite column; all-order monotonicity theorem covers every larger degree
9,x=2,18,109031829675733730942008723626590750731644470830039998218066665134389940146535633091161543652239032911266587094748309341534920592028798144247248698680320743166485318248443161916245257161064266791161686436600586507864092589680621931635431362869499875151272729648295672459535832013582513797259782849924696731257926125001170710770499063604611274351355610695768215414479788747072/199217424205500121525908046323215323007582796331192173346070305789193821343344271142467199787777590650279015092619613278150661765007261280132996366013191370139427257651311679581581966782249429351688266979435191923311933689166406548274944077231942762137217640145639539504320853469943672976490352441185659982708043008128587763091372803310463712733735519577749073505401611328125,0.54730066966061852174,False,exact finite column; all-order monotonicity theorem covers every larger degree
10,x=-1,-10,68035656925066413761342924404117353598569818554524750812590049117347031294096829379589372669929036697346071482226518331286971150346548682866181114458843805103647381689815877720295984948022302584759708076968591813556560808947842972669328233302637415732765199989942910635720846758751648528816218749515639476991376513717112533022801942653570786368667146231006932172372538608/126190176536703397144626996354337310043591821454582423599162002884155368844935341316533794392457247556135599040910612303871099940113492430389215163696480779633529240460956830595073449653892738424257184877191075628445693023990677789377388867824226225616258282430959175943094950064588355538291458433974048884103881197988999045693264862422200422997775604017078876495361328125,0.53915176911792106473,False,exact finite column; all-order monotonicity theorem covers every larger degree
10,x=2,20,48162943937343962362461815374265857957403116064913601854683679814857604404638508617635129494612240308749483402827787936522207739219586076024519081477219065711633900734695869062031919335556617375738681328540529037108850285357030231655460672437728687170363873857353532779871516171145156344574096941311170128268436292691310064921147921042836840541440132832537002283029038704/88800494599902390583256034471570699660305355838409853643854742770331555853843388333857114572469914946910236362122282732353736994894679858422040300379004993075446502546599251159496131237924519631884685654319645812609932127993439925858162536617048084692922495044008308996992742638043657601019915194278034399924953435621888217339704903185992890257693943567574024200439453125,0.54237247387355091988,False,exact finite column; all-order monotonicity theorem covers every larger degree
