panel,series,x,y,rawValue,normalization,evidence,source,sourcePointer,note
A,admissible interior closure,0.3333333333333333,0.0,"(0.3333333333333333,0)",closure used only to draw 1/3 < beta < 1/2,R0.72F analytic screen,research/r072f_report-source.md,regionCorner[0],open beta boundaries are drawn separately
A,admissible interior closure,0.5,0.0,"(0.5,0)",closure used only to draw 1/3 < beta < 1/2,R0.72F analytic screen,research/r072f_report-source.md,regionCorner[1],open beta boundaries are drawn separately
A,admissible interior closure,0.5,2.0,"(0.5,2)",closure used only to draw 1/3 < beta < 1/2,R0.72F analytic screen,research/r072f_report-source.md,regionCorner[2],open beta boundaries are drawn separately
A,admissible interior closure,0.3333333333333333,2.0,"(0.3333333333333333,2)",closure used only to draw 1/3 < beta < 1/2,R0.72F analytic screen,research/r072f_report-source.md,regionCorner[3],open beta boundaries are drawn separately
A,included critical endpoint ray,0.3333333333333333,1.0,1.0,beta=1/3 and gamma>=1,R0.72F selected-family exponent ledger,research/r072f_report-source.md,critical endpoint ray,included only for gamma>=1
A,included critical endpoint ray,0.3333333333333333,2.0,2.0,beta=1/3 and gamma>=1,R0.72F selected-family exponent ledger,research/r072f_report-source.md,critical endpoint ray,included only for gamma>=1
A,excluded Leray boundary,0.5,0.0,0.0,beta=1/2,R0.72F Leray energy-payment screen,research/r072f_report-source.md,energy boundary,excluded for gamma>=0
A,excluded Leray boundary,0.5,2.0,2.0,beta=1/2,R0.72F Leray energy-payment screen,research/r072f_report-source.md,energy boundary,excluded for gamma>=0
A,critical-log endpoint,0.3333333333333333,1.0,"(1/3,1)",minimal selected-family power-log endpoint,R0.72F analytic screen,research/r072f_report-source.md,critical endpoint,passes both displayed screens
A,plain endpoint failure,0.3333333333333333,0.0,"(1/3,0)",plain beta=1/3 endpoint,R0.72F analytic screen,research/r072f_report-source.md,plain endpoint,fails selected-family logarithmic test
B,producer critical-log normalization,16.0,41.02348822068454,17.913126088485964,Q_* delta^(2/3)/log(delta),time-dependent Strang split-step Fourier,research/certificates/r072f/result.json,weightedActionRows[0],fine/coarse relative difference=1.264822e-03
B,independent critical-log normalization,16.0,41.04301854207445,17.921654108037206,Q_* delta^(2/3)/log(delta),independent adaptive real-lattice BDF,research/certificates/r072f/independent-result.json,weightedActionRows[0],quadrature relative defect=5.527794e-09
B,producer plain-to-critical annotation,16.0,0.21277590534330082,3.8114816210063016,"Q_(1/3,0)/Q_*",same producer evolution and quadrature,research/certificates/r072f/result.json,weightedActionRows[0].actions,annotation only; not plotted on the main y-axis
B,producer critical-log normalization,32.0,41.597393699846734,14.303037164559147,Q_* delta^(2/3)/log(delta),time-dependent Strang split-step Fourier,research/certificates/r072f/result.json,weightedActionRows[1],fine/coarse relative difference=1.213879e-03
B,independent critical-log normalization,32.0,41.616070430590256,14.309459056658074,Q_* delta^(2/3)/log(delta),independent adaptive real-lattice BDF,research/certificates/r072f/independent-result.json,weightedActionRows[1],quadrature relative defect=4.544092e-09
B,producer plain-to-critical annotation,32.0,0.1963418172264067,2.8082843087463742,"Q_(1/3,0)/Q_*",same producer evolution and quadrature,research/certificates/r072f/result.json,weightedActionRows[1].actions,annotation only; not plotted on the main y-axis
B,producer critical-log normalization,64.0,42.34345816887649,11.006343241843021,Q_* delta^(2/3)/log(delta),time-dependent Strang split-step Fourier,research/certificates/r072f/result.json,weightedActionRows[2],fine/coarse relative difference=1.120412e-03
B,independent critical-log normalization,64.0,42.36086766052453,11.010868494362079,Q_* delta^(2/3)/log(delta),independent adaptive real-lattice BDF,research/certificates/r072f/independent-result.json,weightedActionRows[2],quadrature relative defect=3.846332e-09
B,producer plain-to-critical annotation,64.0,0.18017030129648248,1.9830161780553608,"Q_(1/3,0)/Q_*",same producer evolution and quadrature,research/certificates/r072f/result.json,weightedActionRows[2].actions,annotation only; not plotted on the main y-axis
B,producer critical-log normalization,128.0,43.048726193795645,8.223887484849278,Q_* delta^(2/3)/log(delta),time-dependent Strang split-step Fourier,research/certificates/r072f/result.json,weightedActionRows[3],fine/coarse relative difference=1.031936e-03
B,independent critical-log normalization,128.0,43.06495879094774,8.226988506978591,Q_* delta^(2/3)/log(delta),independent adaptive real-lattice BDF,research/certificates/r072f/independent-result.json,weightedActionRows[3],quadrature relative defect=3.343921e-09
