s,nmax,mass,massError,gradientMoment,expectedGradientMoment,gradientRelativeError,boundaryMass,passed
0.0,64,1.0000000000000002,2.220446049250313e-16,1.0000000000000002,1.0,2.2204460492503126e-16,0.0,True
0.5,64,1.0,0.0,1.2500000000000004,1.25,3.5527136788004996e-16,2.9668901411095264e-213,True
2.0,73,1.0,0.0,5.0,5.0,0.0,5.321961379715947e-165,True
8.0,98,1.0,0.0,65.0,65.0,0.0,4.5521675585194595e-130,True
32.0,169,0.9999999999999996,4.440892098500626e-16,1024.9999999999995,1025.0,4.4365595208435524e-16,3.3884796311778275e-105,True
128.0,398,0.9999999999999762,2.375877272697835e-14,16384.999999999985,16385.0,8.881242129000215e-16,1.1936533418243276e-87,True
512.0,1225,0.9999999999999214,7.860379014346108e-14,262145.00000000035,262145.0,1.3322625473718896e-15,2.3977106545985812e-76,True
