sigma,action,scaledAction,maxBoundaryDerivativeMass,maxCutoff,passed
16.0,3.256316633519542,7.457406730580259,1.3929968288188512e-122,105,True
32.0,2.7679578505890077,8.050026797163914,5.125527881985318e-110,136,True
64.0,2.2462508351580186,8.641746507933775,2.374160606188138e-99,191,True
128.0,1.7523038665125683,9.172602312081791,5.234557446756577e-91,289,True
256.0,1.3242460066694974,9.628231728183936,4.921232195240433e-84,473,True
512.0,0.975120465030072,10.003921487418484,1.319903382352148e-78,825,True
