sigma,cubic,coarseCubic,timeRefinementRelativeDifference,cubicOverLogSigma,steps,nmax,boundaryMass,finalNormSquared,passed
32.0,2.722457332799919,2.722472553641451,5.590815419494328e-06,0.7855351386124475,9051,48,2.4570864350939246e-149,0.002098810374526694,True
128.0,4.5229099021061385,4.5232618696706925,7.781277642005006e-05,0.9321685265937305,18102,69,2.375443574005943e-180,2.9093809685745023e-06,True
512.0,6.179349342861972,6.1823970880700525,0.0004929714420902731,0.9905462947630491,36204,126,3.530263398684e-312,7.205158973714155e-12,True
2048.0,7.639126464836662,7.651162266269757,0.0015730683802322421,1.0019027152312263,72408,239,0.0,6.030188665554134e-23,True
