s,grid,mass,massError,gradientMoment,expectedGradientMoment,gradientRelativeError,boundaryMass,passed
0.0,2048,1.0000000000000004,4.440892098500626e-16,1.0000000000000004,1.0,4.440892098500624e-16,9.412744377026831e-33,True
0.5,2048,1.0000000000000002,2.220446049250313e-16,1.2500000000000004,1.25,3.5527136788004996e-16,9.995198470531823e-33,True
2.0,2048,1.0000000000000002,2.220446049250313e-16,5.000000000000001,5.0,1.77635683940025e-16,2.44064308479026e-32,True
8.0,2048,1.0000000000000002,2.220446049250313e-16,65.0,65.0,0.0,2.465655682925655e-31,True
32.0,2048,1.0000000000000002,2.220446049250313e-16,1025.0000000000002,1025.0,2.2182797604217757e-16,3.6774861946347756e-30,True
128.0,4096,1.0000000000000002,2.220446049250313e-16,16385.000000000004,16385.0,2.2203105322500532e-16,9.434113600571127e-29,True
512.0,16384,1.0000000000000002,2.220446049250313e-16,262145.00000000006,262145.0,2.2204375789531518e-16,1.5056314059983786e-27,True
