sigma,action,scaledAction,maxBoundaryDerivativeMass,maxCutoff,passed
16.0,3.25627964943737,7.457322032016098,7.353682948838836e-140,114,True
32.0,2.7679208665068167,8.049919236691979,1.0834493709289552e-125,146,True
64.0,2.246213851075792,8.641604223261721,8.832426097586968e-114,202,True
128.0,1.7522668824302432,9.172408715362907,3.1174950945141084e-104,302,True
256.0,1.3251188906100364,9.634578229369511,3.074783587249411e-96,488,True
512.0,0.9749531183865918,10.002204650635138,6.0882117665865375e-90,843,True
