sigma,cubic,cubicOverLogSigma,asymptoticConstant,fineCubic,stepRelativeDifference,cubicOverSigma,passed
16.0,2.2401141703836633,0.8079504011594014,1.6211389382774044,2.2401141703836633,0.0,0.14000713564897896,True
32.0,3.1949574869608193,0.9218698644578878,1.6211389382774044,3.1949574869608193,0.0,0.0998424214675256,True
64.0,4.22908910945455,1.0168809809479338,1.6211389382774044,4.22908910945455,0.0,0.06607951733522735,True
128.0,5.306416461213286,1.093648673354853,1.6211389382774044,5.3063732338877365,8.146236893627654e-06,0.041456378603228795,True
256.0,6.406486535368738,1.1553257942622994,1.6211389382774044,6.406486535368738,0.0,0.025025338028784132,True
512.0,7.518238876663015,1.2051695492867047,1.6211389382774044,7.518179123772637,7.947724375096268e-06,0.014684060305982452,True
1024.0,8.635922214350895,1.2459002152146872,1.6211389382774044,8.635922214350895,0.0,0.008433517787452046,True
2048.0,9.75659925387992,1.2796179417739564,1.6211389382774044,9.756536059481936,6.477092718329899e-06,0.004763964479433554,True
