timestampUtc,elapsedSeconds,status,processCount,cpuPercent,rssMiB,gpuCount,gpuUtilPercentMean,gpuMemoryUsedMiB,gpuMemoryTotalMiB,gpuTemperatureCMax
2026-08-20T01:23:00.645108+00:00,0.019759,running,1,0.000,5.641,0,,,,
2026-08-20T01:23:00.915334+00:00,0.289549,running,1,44.900,27.172,0,,,,
2026-08-20T01:23:01.188775+00:00,0.562971,running,1,80.200,38.625,0,,,,
2026-08-20T01:23:01.459536+00:00,0.833715,running,1,94.200,38.594,0,,,,
2026-08-20T01:23:01.731686+00:00,1.105841,running,1,97.100,58.203,0,,,,
2026-08-20T01:23:02.003390+00:00,1.377526,running,1,99.400,39.203,0,,,,
2026-08-20T01:23:02.272753+00:00,1.646872,running,1,100.000,57.672,0,,,,
2026-08-20T01:23:02.544270+00:00,1.918371,running,1,100.000,100.438,0,,,,
2026-08-20T01:23:02.815829+00:00,2.189919,running,1,99.200,104.453,0,,,,
2026-08-20T01:23:03.085773+00:00,2.459839,running,1,100.000,46.750,0,,,,
2026-08-20T01:23:03.357696+00:00,2.731746,running,1,100.000,65.953,0,,,,
2026-08-20T01:23:03.627876+00:00,3.001908,running,1,98.400,103.156,0,,,,
2026-08-20T01:23:03.899428+00:00,3.273444,running,1,98.800,103.156,0,,,,
2026-08-20T01:23:04.175255+00:00,3.549260,running,1,99.200,219.156,0,,,,
2026-08-20T01:23:04.445102+00:00,3.819086,running,1,99.000,182.391,0,,,,
2026-08-20T01:23:04.715350+00:00,4.089319,running,1,100.000,182.391,0,,,,
2026-08-20T01:23:04.986022+00:00,4.359976,running,1,100.000,190.406,0,,,,
2026-08-20T01:23:05.256368+00:00,4.630308,running,1,100.000,103.703,0,,,,
2026-08-20T01:23:05.527344+00:00,4.901269,running,1,97.900,57.781,0,,,,
2026-08-20T01:23:05.797763+00:00,5.171675,running,1,99.600,78.000,0,,,,
2026-08-20T01:23:06.068057+00:00,5.441954,running,1,98.700,113.688,0,,,,
2026-08-20T01:23:06.338127+00:00,5.712010,running,1,100.000,113.688,0,,,,
2026-08-20T01:23:06.609365+00:00,5.983233,running,1,100.000,193.641,0,,,,
2026-08-20T01:23:06.880183+00:00,6.254038,running,1,100.000,193.641,0,,,,
2026-08-20T01:23:07.151303+00:00,6.525146,running,1,100.000,193.641,0,,,,
2026-08-20T01:23:07.422478+00:00,6.796308,running,1,100.000,193.641,0,,,,
2026-08-20T01:23:07.698369+00:00,7.072187,running,1,99.000,344.938,0,,,,
2026-08-20T01:23:07.970013+00:00,7.343815,running,1,98.200,347.766,0,,,,
2026-08-20T01:23:08.241224+00:00,7.615016,running,1,99.900,352.328,0,,,,
2026-08-20T01:23:08.511980+00:00,7.885760,running,1,100.000,352.859,0,,,,
2026-08-20T01:23:08.782143+00:00,8.155911,running,1,100.000,353.391,0,,,,
2026-08-20T01:23:09.052449+00:00,8.426207,running,1,100.000,353.922,0,,,,
2026-08-20T01:23:09.324456+00:00,8.698201,running,1,99.000,370.469,0,,,,
2026-08-20T01:23:09.594505+00:00,8.968240,running,1,99.000,371.000,0,,,,
2026-08-20T01:23:09.864817+00:00,9.238541,running,1,99.000,371.547,0,,,,
2026-08-20T01:23:10.134696+00:00,9.508410,running,1,99.000,83.219,0,,,,
2026-08-20T01:23:10.402535+00:00,9.776240,running,1,99.000,102.578,0,,,,
2026-08-20T01:23:10.673073+00:00,10.046766,running,1,99.000,140.156,0,,,,
2026-08-20T01:23:10.944538+00:00,10.318221,running,1,98.000,140.156,0,,,,
2026-08-20T01:23:11.216678+00:00,10.590350,running,1,100.000,281.125,0,,,,
2026-08-20T01:23:11.486036+00:00,10.859698,running,1,100.000,215.812,0,,,,
2026-08-20T01:23:11.755803+00:00,11.129455,running,1,98.000,215.812,0,,,,
2026-08-20T01:23:12.027024+00:00,11.400669,running,1,98.700,215.812,0,,,,
2026-08-20T01:23:12.296877+00:00,11.670512,running,1,98.900,268.250,0,,,,
2026-08-20T01:23:12.579540+00:00,11.953169,running,1,99.300,506.688,0,,,,
2026-08-20T01:23:12.850626+00:00,12.224242,running,1,100.000,369.781,0,,,,
2026-08-20T01:23:13.120663+00:00,12.494269,running,1,100.000,370.328,0,,,,
2026-08-20T01:23:13.390392+00:00,12.763991,running,1,100.000,370.859,0,,,,
2026-08-20T01:23:13.661398+00:00,13.034986,running,1,100.000,371.391,0,,,,
2026-08-20T01:23:13.932143+00:00,13.305724,running,1,100.000,371.922,0,,,,
2026-08-20T01:23:14.203027+00:00,13.576600,running,1,99.000,372.453,0,,,,
2026-08-20T01:23:14.473317+00:00,13.846882,running,1,99.000,372.984,0,,,,
2026-08-20T01:23:14.746404+00:00,14.119962,running,1,99.000,438.688,0,,,,
2026-08-20T01:23:15.020399+00:00,14.393954,running,1,99.600,624.750,0,,,,
2026-08-20T01:23:15.296433+00:00,14.669979,running,1,99.300,779.484,0,,,,
2026-08-20T01:23:15.570949+00:00,14.944492,running,1,98.700,940.141,0,,,,
2026-08-20T01:23:15.839982+00:00,15.213510,running,1,100.000,698.969,0,,,,
2026-08-20T01:23:16.109957+00:00,15.483478,running,1,100.000,698.969,0,,,,
2026-08-20T01:23:16.381219+00:00,15.754733,running,1,100.000,706.984,0,,,,
2026-08-20T01:23:16.651967+00:00,16.025474,running,1,100.000,706.984,0,,,,
2026-08-20T01:23:16.921977+00:00,16.295477,running,1,100.000,706.984,0,,,,
2026-08-20T01:23:17.194960+00:00,16.568454,running,1,100.000,706.984,0,,,,
2026-08-20T01:23:17.465075+00:00,16.838561,running,1,99.000,706.984,0,,,,
2026-08-20T01:23:17.736022+00:00,17.109500,running,1,99.000,706.984,0,,,,
2026-08-20T01:23:18.006251+00:00,17.379724,running,1,99.000,706.984,0,,,,
2026-08-20T01:23:18.282339+00:00,17.655807,running,1,99.000,739.000,0,,,,
2026-08-20T01:23:18.554054+00:00,17.927515,running,1,98.800,739.000,0,,,,
2026-08-20T01:23:18.825493+00:00,18.198950,running,1,98.700,739.000,0,,,,
2026-08-20T01:23:19.096027+00:00,18.469476,running,1,100.000,739.000,0,,,,
2026-08-20T01:23:19.365551+00:00,18.738996,running,1,100.000,739.000,0,,,,
2026-08-20T01:23:19.635443+00:00,19.008883,running,1,100.000,739.000,0,,,,
2026-08-20T01:23:19.905781+00:00,19.279214,running,1,97.900,112.344,0,,,,
2026-08-20T01:23:20.175926+00:00,19.549353,running,1,98.600,112.344,0,,,,
2026-08-20T01:23:20.446885+00:00,19.820307,running,1,98.800,112.344,0,,,,
