lambda3OverLambda2,determinantRatio,gapToSharpSupremum
1.000000000000,1.333333333333,0.666666666667
1.019373485939,1.346083781875,0.653916218125
1.039122303835,1.358747755674,0.641252244326
1.059253725177,1.371320689597,0.628679310403
1.079775162328,1.383798123367,0.616201876633
1.100694171252,1.396175708415,0.603824291585
1.122018454302,1.408449214417,0.591550785583
1.143755863050,1.420614535517,0.579385464483
1.165914401180,1.432667696194,0.567332303806
1.188502227437,1.444604856764,0.555395143236
1.211527658629,1.456422318514,0.543577681486
1.234999172688,1.468116528421,0.531883471579
1.258925411794,1.479684083483,0.520315916517
1.283315185558,1.491121734617,0.508878265383
1.308177474260,1.502426390146,0.497573609854
1.333521432163,1.513595118841,0.486404881159
1.359356390879,1.524625152539,0.475374847461
1.385691862803,1.535513888314,0.464486111686
1.412537544623,1.546258890215,0.453741109785
1.439903320882,1.556857890575,0.443142109425
1.467799267622,1.567308790874,0.432691209126
1.496235656094,1.577609662193,0.422390337807
1.525222956539,1.587758745238,0.412241254762
1.554771842041,1.597754449965,0.402245550035
1.584893192461,1.607595354801,0.392404645199
1.615598098440,1.617280205486,0.382719794514
1.646897865483,1.626807913539,0.373192086461
1.678804018123,1.636177554372,0.363822445628
1.711328304162,1.645388365063,0.354611634937
1.744482698999,1.654439741807,0.345560258193
1.778279410039,1.663331237060,0.336668762940
1.812730881185,1.672062556403,0.327937443597
1.847849797422,1.680633555130,0.319366444870
1.883649089490,1.689044234600,0.310955765400
1.920141938639,1.697294738355,0.302705261645
1.957341781488,1.705385348033,0.294614651967
1.995262314969,1.713316479096,0.286683520904
2.033917501372,1.721088676390,0.278911323610
2.073321573486,1.728702609562,0.271297390438
2.113489039837,1.736159068351,0.263840931649
2.154434690032,1.743458957771,0.256541042229
2.196173600205,1.750603293204,0.249396706796
2.238721138568,1.757593195435,0.242406804565
2.282092971067,1.764429885626,0.235570114374
2.326305067154,1.771114680262,0.228885319738
2.371373705662,1.777648986081,0.222351013919
2.417315480804,1.784034295002,0.215965704998
2.464147308281,1.790272179071,0.209727820929
2.511886431510,1.796364285433,0.203635714567
2.560550427970,1.802312331352,0.197687668648
2.610157215683,1.808118099281,0.191881900719
2.660725059799,1.813783432001,0.186216567999
2.712272579332,1.819310227845,0.180689772155
2.764818754010,1.824700436000,0.175299564000
2.818382931264,1.829956051916,0.170043948084
2.872984833354,1.835079112813,0.164920887187
2.928644564625,1.840071693308,0.159928306692
2.985382618918,1.844935901157,0.155064098843
3.043219887108,1.849673873124,0.150326126876
3.102177664800,1.854287770986,0.145712229014
3.162277660168,1.858779777661,0.141220222339
3.223542001952,1.863152093483,0.136847906517
3.285993247601,1.867406932620,0.132593067380
3.349654391578,1.871546519627,0.128453480373
3.414548873834,1.875573086146,0.124426913854
3.480700588428,1.879488867757,0.120511132243
3.548133892336,1.883296100969,0.116703899031
3.616873614408,1.886997020357,0.113002979643
3.686945064520,1.890593855843,0.109406144157
3.758374042884,1.894088830126,0.105911169874
3.831186849557,1.897484156248,0.102515843752
3.905410294116,1.900782035301,0.099217964699
3.981071705535,1.903984654275,0.096015345725
4.058198942244,1.907094184039,0.092905815961
4.136820402389,1.910112777451,0.089887222549
4.216965034286,1.913042567607,0.086957432393
4.298662347082,1.915885666203,0.084114333797
4.381942421619,1.918644162030,0.081355837970
4.466835921510,1.921320119582,0.078679880418
4.553374104426,1.923915577782,0.076084422218
4.641588833613,1.926432548816,0.073567451184
4.731512589615,1.928873017077,0.071126982923
4.823178482239,1.931238938213,0.068761061787
4.916620262746,1.933532238267,0.066467761733
5.011872336273,1.935754812923,0.064245187077
5.108969774507,1.937908526834,0.062091473166
5.207948328595,1.939995213038,0.060004786962
5.308844442310,1.942016672462,0.057983327538
5.411695265465,1.943974673501,0.056025326499
