thetaDegrees,stretchingCoefficient,normalizedPositiveAlignment
0.00000000,0.816496580928,1.000000000000
0.50000000,0.816403313640,0.999885771367
1.00000000,0.816123540186,0.999543120264
1.50000000,0.815657345787,0.998972151066
2.00000000,0.815004872452,0.998173037695
2.50000000,0.814166318930,0.997146023569
3.00000000,0.813141940651,0.995891421526
3.50000000,0.811932049653,0.994409613731
4.00000000,0.810537014479,0.992701051556
4.50000000,0.808957260071,0.990766255446
5.00000000,0.807193267636,0.988605814759
5.50000000,0.805245574505,0.986220387586
6.00000000,0.803114773963,0.983610700550
6.50000000,0.800801515074,0.980777548589
7.00000000,0.798306502477,0.977721794707
7.50000000,0.795630496178,0.974444369717
8.00000000,0.792774311315,0.970946271954
8.50000000,0.789738817908,0.967228566972
9.00000000,0.786524940600,0.963292387221
9.50000000,0.783133658367,0.959138931699
10.00000000,0.779566004228,0.954769465589
10.50000000,0.775823064924,0.950185319873
11.00000000,0.771905980591,0.945387890925
11.50000000,0.767815944410,0.940378640089
12.00000000,0.763554202247,0.935159093232
12.50000000,0.759122052270,0.929730840277
13.00000000,0.754520844553,0.924095534724
13.50000000,0.749751980670,0.918254893141
14.00000000,0.744816913263,0.912210694644
14.50000000,0.739717145600,0.905964780355
15.00000000,0.734454231122,0.899519052838
15.50000000,0.729029772962,0.892875475527
16.00000000,0.723445423462,0.886036072117
16.50000000,0.717702883671,0.879002925959
17.00000000,0.711803902821,0.871778179416
17.50000000,0.705750277798,0.864364033217
18.00000000,0.699543852597,0.856762745781
18.50000000,0.693186517753,0.848976632535
19.00000000,0.686680209773,0.841008065205
19.50000000,0.680026910540,0.832859471093
20.00000000,0.673228646716,0.824533332339
20.50000000,0.666287489116,0.816032185167
21.00000000,0.659205552084,0.807358619108
21.50000000,0.651984992848,0.798515276214
22.00000000,0.644628010858,0.789504850254
22.50000000,0.637136847124,0.780330085890
23.00000000,0.629513783526,0.770993777844
23.50000000,0.621761142124,0.761498770047
24.00000000,0.613881284447,0.751847954769
24.50000000,0.605876610775,0.742044271743
25.00000000,0.597749559411,0.732090707265
25.50000000,0.589502605932,0.721990293287
26.00000000,0.581138262441,0.711746106494
26.50000000,0.572659076798,0.701361267364
27.00000000,0.564067631844,0.690838939219
27.50000000,0.555366544618,0.680182327263
28.00000000,0.546558465554,0.669394677603
28.50000000,0.537646077679,0.658479276261
29.00000000,0.528632095793,0.647439448175
29.50000000,0.519519265641,0.636278556183
30.00000000,0.510310363080,0.625000000000
30.50000000,0.501008193231,0.613607215185
31.00000000,0.491615589625,0.602103672089
31.50000000,0.482135413340,0.590492874805
32.00000000,0.472570552130,0.578778360092
32.50000000,0.462923919544,0.566963696306
33.00000000,0.453198454039,0.555052482307
33.50000000,0.443397118087,0.543048346367
34.00000000,0.433522897270,0.530954945062
34.50000000,0.423578799370,0.518775962159
35.00000000,0.413567853457,0.506515107494
35.50000000,0.403493108962,0.494176115843
36.00000000,0.393357634749,0.481762745781
36.50000000,0.383164518182,0.469278778542
37.00000000,0.372916864182,0.456728016863
37.50000000,0.362617794286,0.444114283827
38.00000000,0.352270445688,0.431441421700
38.50000000,0.341877970293,0.418713290758
39.00000000,0.331443533748,0.405933768113
39.50000000,0.320970314483,0.393106746532
40.00000000,0.310461502744,0.380236133250
40.50000000,0.299920299615,0.367325848780
41.00000000,0.289349916050,0.354379825720
41.50000000,0.278753571890,0.341402007554
42.00000000,0.268134494883,0.328396347451
42.50000000,0.257495919703,0.315366807061
43.00000000,0.246841086964,0.302317355308
43.50000000,0.236173242231,0.289251967182
44.00000000,0.225495635032,0.276174622527
44.50000000,0.214811517871,0.263089304828
45.00000000,0.204124145232,0.250000000000
45.50000000,0.193436772593,0.236910695172
46.00000000,0.182752655432,0.223825377473
46.50000000,0.172075048233,0.210748032818
47.00000000,0.161407203500,0.197682644692
47.50000000,0.150752370761,0.184633192939
48.00000000,0.140113795581,0.171603652549
48.50000000,0.129494718574,0.158597992446
49.00000000,0.118898374414,0.145620174280
49.50000000,0.108327990848,0.132674151220
50.00000000,0.097786787720,0.119763866750
50.50000000,0.087277975981,0.106893253468
51.00000000,0.076804756716,0.094066231887
51.50000000,0.066370320171,0.081286709242
52.00000000,0.055977844775,0.068558578300
52.50000000,0.045630496178,0.055885716173
53.00000000,0.035331426282,0.043271983137
53.50000000,0.025083772282,0.030721221458
54.00000000,0.014890655715,0.018237254219
54.50000000,0.004755181502,0.005823884157
55.00000000,-0.005319562993,0.000000000000
55.50000000,-0.015330508906,0.000000000000
56.00000000,-0.025274606806,0.000000000000
56.50000000,-0.035148827623,0.000000000000
57.00000000,-0.044950163575,0.000000000000
57.50000000,-0.054675629080,0.000000000000
58.00000000,-0.064322261666,0.000000000000
58.50000000,-0.073887122876,0.000000000000
59.00000000,-0.083367299161,0.000000000000
59.50000000,-0.092759902767,0.000000000000
60.00000000,-0.102062072616,0.000000000000
60.50000000,-0.111270975177,0.000000000000
61.00000000,-0.120383805329,0.000000000000
61.50000000,-0.129397787215,0.000000000000
62.00000000,-0.138310175090,0.000000000000
62.50000000,-0.147118254154,0.000000000000
63.00000000,-0.155819341380,0.000000000000
63.50000000,-0.164410786334,0.000000000000
64.00000000,-0.172889971977,0.000000000000
64.50000000,-0.181254315468,0.000000000000
65.00000000,-0.189501268947,0.000000000000
65.50000000,-0.197628320311,0.000000000000
66.00000000,-0.205632993983,0.000000000000
66.50000000,-0.213512851660,0.000000000000
67.00000000,-0.221265493063,0.000000000000
67.50000000,-0.228888556660,0.000000000000
68.00000000,-0.236379720394,0.000000000000
68.50000000,-0.243736702384,0.000000000000
69.00000000,-0.250957261620,0.000000000000
69.50000000,-0.258039198652,0.000000000000
70.00000000,-0.264980356252,0.000000000000
70.50000000,-0.271778620077,0.000000000000
71.00000000,-0.278431919309,0.000000000000
71.50000000,-0.284938227289,0.000000000000
72.00000000,-0.291295562133,0.000000000000
72.50000000,-0.297501987335,0.000000000000
73.00000000,-0.303555612357,0.000000000000
73.50000000,-0.309454593207,0.000000000000
74.00000000,-0.315197132999,0.000000000000
74.50000000,-0.320781482498,0.000000000000
75.00000000,-0.326205940658,0.000000000000
75.50000000,-0.331468855137,0.000000000000
76.00000000,-0.336568622799,0.000000000000
76.50000000,-0.341503690206,0.000000000000
77.00000000,-0.346272554089,0.000000000000
77.50000000,-0.350873761806,0.000000000000
78.00000000,-0.355305911783,0.000000000000
78.50000000,-0.359567653947,0.000000000000
79.00000000,-0.363657690127,0.000000000000
79.50000000,-0.367574774460,0.000000000000
80.00000000,-0.371317713764,0.000000000000
80.50000000,-0.374885367903,0.000000000000
81.00000000,-0.378276650136,0.000000000000
81.50000000,-0.381490527445,0.000000000000
82.00000000,-0.384526020851,0.000000000000
82.50000000,-0.387382205714,0.000000000000
83.00000000,-0.390058212013,0.000000000000
83.50000000,-0.392553224610,0.000000000000
84.00000000,-0.394866483499,0.000000000000
84.50000000,-0.396997284041,0.000000000000
85.00000000,-0.398944977172,0.000000000000
85.50000000,-0.400708969607,0.000000000000
86.00000000,-0.402288724015,0.000000000000
86.50000000,-0.403683759189,0.000000000000
87.00000000,-0.404893650188,0.000000000000
87.50000000,-0.405918028466,0.000000000000
88.00000000,-0.406756581988,0.000000000000
88.50000000,-0.407409055323,0.000000000000
89.00000000,-0.407875249722,0.000000000000
89.50000000,-0.408155023176,0.000000000000
90.00000000,-0.408248290464,0.000000000000
