record_type,record_id,alpha,reynolds,truncation,matrix_dimension,spectral_abscissa,leading_imaginary_part,absolute_residual,relative_residual,physical_growth_rate,physical_efolding_time,critical_lower,critical_upper,evidence_boundary
convergence,convergence_0008,0.69999999999999996,3.012,8,17,3.7327236416036477e-05,1.5639209270669744e-20,2.8803925483207271e-15,1.3449654949296059e-16,0.011242963608510187,88.944519863345064,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
convergence,convergence_0010,0.69999999999999996,3.012,10,21,3.7327236421198533e-05,9.2714024156339027e-20,8.0471126315760134e-15,2.4117599829986353e-16,0.011242963610064998,88.944519851044745,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
convergence,convergence_0012,0.69999999999999996,3.012,12,25,3.7327236402790766e-05,3.2840793291344261e-23,1.6576475462631836e-14,3.4553516112981687e-16,0.011242963604520578,88.944519894907373,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
convergence,convergence_0016,0.69999999999999996,3.012,16,33,3.7327236402751138e-05,-1.1311482722171541e-23,3.7930539233323971e-14,4.4541885944281212e-16,0.011242963604508643,88.94451989500179,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
convergence,convergence_0020,0.69999999999999996,3.012,20,41,3.7327236396394298e-05,-5.546815517182034e-28,3.9819694748896056e-14,2.9947412381986513e-16,0.011242963602593962,88.944519910149069,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
convergence,convergence_0030,0.69999999999999996,3.012,30,61,3.7327236426339183e-05,-2.2386158402614494e-24,3.440753138944887e-14,1.1508778664331951e-16,0.011242963611613362,88.944519838795443,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
convergence,convergence_0040,0.69999999999999996,3.012,40,81,3.732723641776681e-05,5.6639109816343155e-17,4.8231435421572899e-15,9.0767857259317041e-18,0.011242963609031363,88.94451985922197,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
convergence,convergence_0060,0.69999999999999996,3.012,60,121,3.732723641701703e-05,3.2365843817468443e-17,4.2552486217203377e-15,3.5597399943169368e-18,0.011242963608805528,88.944519861008573,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
convergence,convergence_0080,0.69999999999999996,3.012,80,161,3.7327236408986575e-05,8.2419108323471195e-17,1.7421236218369902e-14,8.1982414990952002e-18,0.011242963606386757,88.944519880143787,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
convergence,convergence_0120,0.69999999999999996,3.012,120,241,3.7327236415731776e-05,1.2646397392119195e-16,1.6357944532695561e-14,3.4214202985369127e-18,0.011242963608418411,88.944519864071111,3.0115283644440001,3.0115283644459998,finite Fourier diagnostic only; rigorous threshold is an external computer-assisted theorem input
