frequencyCount,dimensionComplex,alpha,rootCountIncludingEndpoints,minimumDerivativeNorm,slopeMassExcludingFirst,weightedVariation,theoremRatio
1,2,0.3,2,7.327390254512591,53.6906479419261,451.86007745480066,0.059410701034212025
2,2,0.3,3,14.654780509025182,429.5251835354088,3614.8806196384053,0.059410701034212025
4,2,0.3,5,29.309561018050363,3436.2014682832705,28919.044957107242,0.059410701034212025
8,2,0.3,9,58.61912203610073,27489.611746266164,231352.35965685794,0.059410701034212025
16,2,0.3,17,117.23824407220145,219916.8939701293,1850818.8772548635,0.059410701034212025
