R,N,firstRootPayment,mixedRowMeasuredTwice,trueCubicMeasuredTwice,directionalMeasuredUpper,directionalTheoremProxy,exactRootAtom,exactRootResidual,measuredUpperOverN2,theoremProxyOverN2,rootAtomOverN2,normalizedMeasuredCompleteUpper,normalizedTheoremCompleteProxy,previousDiagonalTermRemoved
4,8,128.0,126.72712725765334,0.7474691587593807,255.4745964164127,925.0636411936696,6.899460340577425,1.680597899883084e-17,3.9917905690064486,14.454119393651087,0.10780406782152227,0.00361764013477114,0.013099335129763818,156.45451107557034
8,16,511.99999999999983,510.76837297622524,2.5322762249852016,1025.3006492012103,3917.135065914229,88.28915708981076,1.3118875170002214e-17,4.005080660942228,15.301308851227457,0.34487951988207327,0.002107618909699732,0.008052104466334508,331.83500803687593
16,32,2047.9999999999998,2046.663654368679,9.270651762966185,4103.934306131645,16242.918609455115,773.2822912044815,1.0842027755000033e-17,4.0077483458316845,15.86222520454601,0.7551584875043764,0.0012772760738685356,0.005055317595765018,659.0971428257337
32,64,8191.999999999994,8190.111481548177,35.42345434982837,16417.534935898,66376.27715781369,4902.167468248389,1.7780919305680592e-17,4.008187240209472,16.205145790481858,1.1968182295528293,0.0007894220800109975,0.003191642288680877,1247.728804732616
64,128,32767.999999999975,32763.849229051913,138.4332770046351,65670.28250605652,268717.9216012283,25172.85866961502,3.035766201128069e-18,4.008195953738801,16.40124033210622,1.5364293621591198,0.0004927062979997985,0.002016117600013836,2283.250393448328
