frequencyCount,rootCountIncludingEndpoints,minimumDerivativeNorm,slopeMassExcludingFirst,weightedVariation,theoremRatio,expectedRatio,directionalProjectionResidual,literalComplexRolleFails
1,2,6.283185307179586,39.47841760435743,248.05021344239853,0.07957747154594767,0.07957747154594767,1.8369701987210297e-16,True
2,3,12.566370614359172,315.82734083485946,1984.4017075391882,0.07957747154594767,0.07957747154594767,4.286263797015736e-16,True
4,5,25.132741228718345,2526.6187266788756,15875.213660313506,0.07957747154594767,0.07957747154594767,2.6948419387607653e-15,True
8,9,50.26548245743669,20212.949813431005,127001.70928250805,0.07957747154594767,0.07957747154594767,3.674559378078648e-15,True
16,17,100.53096491487338,161703.59850744804,1016013.6742600644,0.07957747154594767,0.07957747154594767,5.389064896884942e-15,True
32,33,201.06192982974676,1293628.7880595843,8128109.394080515,0.07957747154594767,0.07957747154594767,1.6168432651928003e-14,True
