sector,boundExact,boundDecimal,passes,classification
s=0,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1699691642550902145726897519400649014858989422361744079870871923094914699742952051786782582893187750841666762323189162001331642431748026095577104724696706738626767732684981228656568909885843109707520422392279708487640524078083985861234981885293193466925353327880796608850486051345285432034870609641075134277343750000000000000000000000000000000000000000000000000000000000000000000000000000,0.76674139886755510176,true,formal all-order sector
s=-1,457540910476471891485205975769381573275092673299069689023575461712296809245149761881686457067685959339631455688778486623441035064707837295314359722573409641812186452977621752395677557240610708844032339498394767050362329084584562593669543735028954919224574108313663397043980758885247456537735720046535034276279913346687788209365982514574050916258015548304879394008632667369667016218149317878983887367539584668341840193915044578681983870300739531/466556477373166517602639673788956563014067110096568989147222585317480663217183961276007008300833683219718242377528696515943858531783312084031578057756964032205079681688427999352569652252477658349635324594497557791297272537814106440202245614562235690440176902742676579861667502644406018132191031085446949369133735508905469187377473838651553705858532339334487915039062500000000000000000000000000000000000000000000000000000000000000000000000000000,0.98067636538355529296,true,formal all-order sector
s=1,22180733235085423986909835113773962957305576157695688864719753705183792796705268011855352993786279057206780327454883967707869081277654906846090423479050858175357963902580532152416295126577134715044971895673480451939420654032965004822672142256320035329173882897223811621090996693572534275241729771241481601960685852351747804649042328562496406223978091517312964086330849002285256452744927089272872409650446704424147575382899669637332946805980150397/109291261232745592259322178637043727287232515023666665994312802825415418076973093089149655637857311926347238449621095006156465536905198855085167222379793351516193404180881583262973023417888755995979034398913138711877754817830112808274553911731773886649104854255714796042159951926074622296262031428134489219814846823218518095705183157395623538832296617329120635986328125000000000000000000000000000000000000000000000000000000000000000000000000000000,0.20295065666640585422,true,formal all-order sector
s=162,57255587358321065787525506926060588606021537392695752055568692349666233091806525661725068073404427828328181186804334253728410680176813564557801173702378883872370401782866595982926188281727058752186080877655002123674481360589327345473645759912413646223240135840209374086332970531175694582960099471282419736931256564642565567779405227701137448611355134800115971510652022570954428949739697103658748636470339988724545029786950479962446931015166195898396289389911159032258224773563/57531461884783645840742275034445825075672618089262716773135183641949286560918930596358741857785846563823117738532522542979933615616938366896189504828380300794111388160634241270765788329951227854504418534904277362156660554621137259109732007748069498730387587512564685698990064713792411464399129585644599620120526583081408292146777287430271200714056576519168543582330443975081379903713241219520568847656250000000000000000000000000000000000000000000000000000000000000000000000000,0.99520480590228932449,true,formal all-order sector
s>=241,35621302574141522476514086514555845865011309292375962550556181995006247320423486817725349549415147067704785383355020358554845791659457100906618154475887083922068313467940871859916705397622257126936306908630869708214872770072606421023438038656573811599046998462094773197968001197866542292549606537604892238624603464445414150949544409032497231153925038765192206467178496168004598518558689736343263497585614904527909/35703188705530986676054768429784781383296182954327043710176839244063412486943469936545232441708400143427638244519573030707477486321868944028980735041984657958103719682156177023215666881288964186881865307792231060040630005986327463339003867611923655004322327196369839981933522528476460644050678771080353790523531642975285649299621582031250000000000000000000000000000000000000000000000000000000000000000000000000000,0.99770647568583203935,true,formal all-order sector
